aisle,aisle_id,product_name,product_id,product_count
air fresheners candles,101,Clean Linen Jar Candle,11008,3
air fresheners candles,101,After The Rain Gel Air Freshener,49120,3
air fresheners candles,101,Clean Linen Candle,39331,2
air fresheners candles,101,Air Effects Linen & Sky Air Refresher,47674,2
air fresheners candles,101,Lavender Room Freshener,1299,2
air fresheners candles,101,Fresh Waters Scented Oil Refill,4161,2
air fresheners candles,101,Air Effects Linen & Sky Scent Air Freshener Spray,5181,2
air fresheners candles,101,100% Pure Lavender Oil,6459,2
air fresheners candles,101,Lavender Harvest Aromatherapy Mist,20324,2
air fresheners candles,101,Apple & Cinnamon Adjustable Air Freshener,21645,2
asian foods,66,Organic Sea Salt Roasted Seaweed Snacks,36724,37
asian foods,66,Sriracha Hot Chili Sauce,22275,15
asian foods,66,Sliced Water Chestnuts,47008,14
baby accessories,82,Free & Clear Unscented Baby Wipes,44471,27
baby accessories,82,Totz Toothbrush Extra Soft 18+ Months,219,3
baby accessories,82,Miracle 360°  Trainer Cup,1617,1
baby accessories,82,Swaddlers Size 4 Giant Pack Diapers,7489,1
baby accessories,82,Start Silicone Pacifier,22904,1
baby accessories,82,Disposable Nursing Pads,30217,1
baby bath body care,102,Calming Shampoo & Bodywash,23931,2
baby bath body care,102,All-One Baby Unscented Pure-Castile Bar Soap,41129,2
baby bath body care,102,Everyday Shea Lemon & Lavender Shampoo & Body Wash For Babies & Up,41951,1
baby bath body care,102,Eucalyptus Mint Bubble Bath,42325,1
baby bath body care,102,Baby Lotion,35109,1
baby bath body care,102,Head-to-Toe Baby Wash,38100,1
baby bath body care,102,Baby Derma White Mallow Face Cream,38611,1
baby bath body care,102,No More Tangles Detangling Spray,24786,1
baby bath body care,102,Bedtime Moisture Wash™ Baby,23274,1
baby bath body care,102,Lavender Lullaby Soap,26362,1
baby bath body care,102,Unscented Pure Castile Soap,31990,1
baby bath body care,102,Spf 30 Baby Sunscreen Cream,33335,1
baby bath body care,102,Calming Comfort Baby Lotion,1317,1
baby bath body care,102,Everyday Shea Lavender Bubble Bath,3491,1
baby bath body care,102,Baby Moisture Wash,5048,1
baby bath body care,102,6-18 Months Ultra Soft Toothbrush,7057,1
baby bath body care,102,Baby Wash & Shampoo,12590,1
baby bath body care,102,No More Tangles Baby Shampoo & Conditioning,21549,1
baby bath body care,102,Baby Shampoo & Body Wash,47996,1
baby bath body care,102,Kids Broad Spectrum Sunblock Lotion Spf 50,49214,1
baby food formula,92,Baby Food Stage 2 Blueberry Pear & Purple Carrot,43875,31
baby food formula,92,Kids Sensible Foods Broccoli Littles,49215,29
baby food formula,92,Spinach Peas & Pear Stage 2 Baby Food,34134,21
bakery desserts,8,"Muffins, Mini, Flax, Chocolate Brownie",2298,9
bakery desserts,8,Cookie Tray,6729,7
bakery desserts,8,Cranberry Almond Chicken Salad,24532,5
bakery desserts,8,Vegan Chocolate Chip Mini Muffins,31257,5
bakery desserts,8,Vanilla Cupcakes,34622,5
baking ingredients,17,Light Brown Sugar,23537,40
baking ingredients,17,Cane Sugar,49533,28
baking ingredients,17,Organic Vanilla Extract,7500,26
baking supplies decor,97,Heavy Duty Aluminum Foil,47348,5
baking supplies decor,97,Certified Compostable Large Baking Cups,42294,5
baking supplies decor,97,100% Recycled Aluminum Foil,160,5
beauty,132,Organic Cotton Balls,38426,5
beauty,132,Jumbo Cotton Balls,7883,2
beauty,132,Soothing Hydro Serum Facial Mask,6862,1
beauty,132,100% Cotton Swabs,1714,1
beauty,132,Volum' Express® The Colossal Glam Black Waterproof Mascara,3985,1
beauty,132,Great Lash Curved Brush Washable Mascara - Very Black,13523,1
beauty,132,Makeup Remover Face Wipe,13824,1
beauty,132,Oil-Free Gentle Eye Makeup Remover,9408,1
beauty,132,Square Tip Tweezers,9564,1
beauty,132,Triple Size Cotton Balls,11404,1
beauty,132,Slant-Tip Tweezers,25667,1
