add_to_cart_order,product_name,product_id,total_times_added
1,Banana,24852,345
2,Banana,24852,253
3,Banana,24852,197
4,Banana,24852,133
5,Banana,24852,101
6,Banana,24852,92
7,Banana,24852,66
8,Banana,24852,57
9,Organic Strawberries,21137,44
10,Bag of Organic Bananas,13176,36
11,Organic Strawberries,21137,29
12,Banana,24852,27
13,Organic Strawberries,21137,26
14,Organic Strawberries,21137,28
15,Organic Baby Spinach,21903,26
16,Organic Garlic,24964,14
17,Banana,24852,16
18,Organic Strawberries,21137,9
19,Organic Baby Spinach,21903,9
20,Organic Strawberries,21137,7
21,Limes,26209,6
22,Organic Hass Avocado,47209,7
23,Organic Strawberries,21137,6
24,Organic Red Bell Pepper,10749,4
25,Organic Avocado,47766,4
26,Organic Cucumber,30391,4
27,Shredded Parmesan,4799,4
28,Organic Red Cabbage,48775,3
29,Organic Yellow Onion,22935,2
30,Organic Small Bunch Celery,44359,3
31,Whipped Cream Cheese,42828,2
32,Organic Baby Spinach,21903,3
33,Sparkling Water Grapefruit,44632,3
34,Strawberries,16797,2
35,Baby Spinach,11182,1
36,Organic Red Lentil Penne,30753,2
37,Lemon Verbena Hand Soap,27544,2
38,Fresh Ginger Root,31553,2
39,Organic Red Onion,8518,1
40,Original Corn Chips,9199,1
41,Traditional Refried Beans,5994,1
42,100% Raw Coconut Water,3957,1
43,Sharp Cheddar Thick Slices Cheese,23644,1
44,Organic Salted Butter,651,1
45,Clean Day Liquid Hand Soap Refill Basil Scent,11599,1
46,Organic Corn Flakes Cereal Fruit Juice Sweetened,23270,1
47,Enlighten Mint Organic,14366,2
48,Revel Berry Yerba Mate,11187,2
49,Creamy Chicken & Dumplings Soup,1498,1
50,Whole Milk,4210,1
51,Non-Aerosol Extra Hold Hairspray,7874,1
52,Advanced Care Skin Renew Anti-Perspirant Deodorant,801,1
53,Bedtime Tea,20791,1
54,Uncured Pepperoni Mini Pizza Bagels Frozen Snacks,37733,1
55,Three Cheese Mini Pizza Bagels Frozen Snacks,4960,1
56,Original Real Vegetable Chips,20580,1
57,Cold Brew Coffee,25718,1
58,Jalapeno Jack Potato Chips,28085,1
59,Free & Clear Natural Laundry Detergent For Sensitive Skin,204,1
60,Lemongrass Citrus Scent Disinfecting Wipes,21847,1
61,Orange Marmalade,18660,1
62,Organic Extra Virgin Oil Olive,15455,1
63,Organic Balsamic Vinegar Of Modena,45002,1
64,Organic Hom Mali Jasmine Rice,21332,1
65,Organic Homestyle Waffles,25753,1
